epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.12849,1.18901,1.41729,1.22285,0.73166,0.57548,0.67121,0.50743,1.06598,1.03191,1.10819,8.33e-06,8.33e-06,8.33e-06
2,8.25751,1.18608,1.27084,1.22463,0.73133,0.59978,0.68832,0.52054,1.057,0.99871,1.09941,1.74966e-05,1.74966e-05,1.74966e-05
3,11.2505,1.24117,1.30735,1.26212,0.75176,0.60527,0.69383,0.52331,1.04752,0.9826,1.09413,2.62861e-05,2.62861e-05,2.62861e-05
4,14.302,1.1199,1.17735,1.21857,0.7757,0.61218,0.70454,0.52826,1.04204,0.96389,1.09041,3.46987e-05,3.46987e-05,3.46987e-05
5,17.1897,1.15744,1.14557,1.21524,0.78258,0.63072,0.72267,0.541,1.03567,0.94895,1.086,4.27343e-05,4.27343e-05,4.27343e-05
6,19.9873,1.07886,1.11963,1.17763,0.79135,0.64731,0.73644,0.55232,1.03046,0.9328,1.07721,5.03929e-05,5.03929e-05,5.03929e-05
7,22.7769,1.18094,1.16933,1.20963,0.77864,0.6576,0.73866,0.55514,1.02538,0.91752,1.07303,5.76745e-05,5.76745e-05,5.76745e-05
8,25.5519,1.09686,1.11602,1.17487,0.79231,0.66641,0.74621,0.56318,1.01674,0.89861,1.06528,6.45792e-05,6.45792e-05,6.45792e-05
9,28.356,1.06315,1.07685,1.17907,0.79635,0.67167,0.7518,0.57326,1.00802,0.87704,1.05926,7.11068e-05,7.11068e-05,7.11068e-05
10,31.1333,1.10699,1.02576,1.15379,0.80821,0.67572,0.75081,0.57527,0.99993,0.8559,1.05555,7.72574e-05,7.72574e-05,7.72574e-05
11,33.8936,1.06478,1.01769,1.14442,0.84105,0.67552,0.76192,0.583,0.98759,0.83344,1.04671,8.30311e-05,8.30311e-05,8.30311e-05
12,36.7367,1.13725,1.06186,1.16269,0.84343,0.68342,0.76821,0.59119,0.97994,0.81892,1.04126,8.84277e-05,8.84277e-05,8.84277e-05
13,39.4941,1.05504,1.03602,1.16628,0.82772,0.69725,0.77161,0.59463,0.97939,0.80722,1.03877,9.07256e-05,9.07256e-05,9.07256e-05
14,42.3379,1.06854,1.01912,1.14466,0.83502,0.69719,0.77404,0.59623,0.97317,0.79579,1.03298,8.83694e-05,8.83694e-05,8.83694e-05
15,45.1155,1.06269,0.99297,1.16317,0.82569,0.6999,0.77616,0.60303,0.96251,0.78225,1.02929,8.60132e-05,8.60132e-05,8.60132e-05
16,47.9006,0.9965,0.93501,1.107,0.82861,0.70738,0.77828,0.60765,0.94698,0.76826,1.02118,8.3657e-05,8.3657e-05,8.3657e-05
17,50.6906,1.00216,0.93177,1.11557,0.83489,0.71448,0.7877,0.61443,0.93252,0.75465,1.01594,8.13008e-05,8.13008e-05,8.13008e-05
18,53.4456,1.03312,0.993,1.14316,0.83836,0.71244,0.78589,0.61802,0.92131,0.74128,1.01196,7.89446e-05,7.89446e-05,7.89446e-05
19,56.1956,1.03714,0.92239,1.11934,0.84244,0.71171,0.79034,0.62401,0.91324,0.73217,1.00794,7.65884e-05,7.65884e-05,7.65884e-05
20,59.0001,0.99124,0.9062,1.09817,0.85267,0.70997,0.79488,0.62575,0.90424,0.72053,1.00528,7.42322e-05,7.42322e-05,7.42322e-05
21,61.756,0.99534,0.88814,1.10078,0.85893,0.71323,0.79511,0.62674,0.89823,0.70969,1.0018,7.1876e-05,7.1876e-05,7.1876e-05
22,64.5268,0.97485,0.85985,1.08671,0.86963,0.71567,0.8001,0.6334,0.89536,0.6992,0.9999,6.95198e-05,6.95198e-05,6.95198e-05
23,67.2581,1.0206,0.89974,1.11811,0.87177,0.71968,0.8011,0.63642,0.88822,0.68925,0.99535,6.71636e-05,6.71636e-05,6.71636e-05
24,70.0092,0.92858,0.85992,1.08019,0.84533,0.72671,0.80651,0.64331,0.87964,0.68064,0.99085,6.48074e-05,6.48074e-05,6.48074e-05
25,72.8247,1.01547,0.88335,1.0823,0.84646,0.73123,0.81183,0.64618,0.87435,0.67359,0.98835,6.24512e-05,6.24512e-05,6.24512e-05
26,75.6052,0.9882,0.85314,1.08477,0.87963,0.72312,0.81197,0.64832,0.87181,0.66697,0.98748,6.0095e-05,6.0095e-05,6.0095e-05
27,78.3644,0.97637,0.83972,1.07829,0.88309,0.72809,0.81422,0.64969,0.87316,0.66447,0.98727,5.77388e-05,5.77388e-05,5.77388e-05
28,81.1959,0.98332,0.87399,1.09448,0.86707,0.73463,0.81385,0.65001,0.86856,0.65931,0.98392,5.53826e-05,5.53826e-05,5.53826e-05
29,83.9174,0.99597,0.8678,1.08733,0.85495,0.73827,0.81791,0.65617,0.86376,0.65604,0.98121,5.30264e-05,5.30264e-05,5.30264e-05
30,86.6756,0.88165,0.78896,1.06387,0.84739,0.73868,0.82175,0.65512,0.85785,0.64907,0.97829,5.06702e-05,5.06702e-05,5.06702e-05
31,89.4287,0.91896,0.80133,1.0717,0.85134,0.74228,0.82035,0.65661,0.85444,0.64153,0.97693,4.8314e-05,4.8314e-05,4.8314e-05
32,92.1901,0.98831,0.87821,1.08907,0.854,0.75079,0.82928,0.66493,0.85124,0.63571,0.97532,4.59578e-05,4.59578e-05,4.59578e-05
33,94.9442,0.94064,0.82255,1.07839,0.85998,0.74659,0.8313,0.66626,0.84949,0.63345,0.9739,4.36016e-05,4.36016e-05,4.36016e-05
34,97.6955,0.98009,0.84115,1.06416,0.85803,0.7505,0.83737,0.66608,0.84604,0.63046,0.97332,4.12454e-05,4.12454e-05,4.12454e-05
35,100.454,0.9633,0.84013,1.06759,0.84994,0.75441,0.83577,0.66442,0.84357,0.63091,0.97219,3.88892e-05,3.88892e-05,3.88892e-05
36,103.291,0.95881,0.83137,1.07963,0.84977,0.75407,0.83659,0.66555,0.83903,0.6271,0.97035,3.6533e-05,3.6533e-05,3.6533e-05
37,106.05,0.96134,0.82567,1.09013,0.84918,0.75035,0.83644,0.67012,0.83769,0.62561,0.96912,3.41768e-05,3.41768e-05,3.41768e-05
38,108.803,0.91077,0.77499,1.05342,0.85754,0.75174,0.8389,0.67262,0.8366,0.62187,0.96902,3.18206e-05,3.18206e-05,3.18206e-05
39,111.536,0.91214,0.80788,1.06495,0.88163,0.73994,0.8413,0.67487,0.83203,0.62005,0.96767,2.94644e-05,2.94644e-05,2.94644e-05
40,114.273,0.90995,0.78851,1.07486,0.88036,0.75201,0.84171,0.67663,0.83082,0.61745,0.96656,2.71082e-05,2.71082e-05,2.71082e-05
41,116.876,0.94541,0.85654,1.03781,0.87959,0.74651,0.84351,0.67323,0.82996,0.62061,0.96472,2.4752e-05,2.4752e-05,2.4752e-05
42,119.436,0.93654,0.83981,1.04678,0.89049,0.74205,0.84068,0.66817,0.83167,0.62419,0.96383,2.23958e-05,2.23958e-05,2.23958e-05
43,121.995,0.93448,0.77485,1.05102,0.89047,0.73559,0.83942,0.66721,0.83585,0.62805,0.9648,2.00396e-05,2.00396e-05,2.00396e-05
44,124.553,0.95043,0.80519,1.04768,0.88554,0.7361,0.83456,0.66358,0.83793,0.6323,0.96543,1.76834e-05,1.76834e-05,1.76834e-05
45,127.16,0.9642,0.81053,1.0493,0.88029,0.7372,0.83837,0.66643,0.8386,0.63468,0.96552,1.53272e-05,1.53272e-05,1.53272e-05
46,129.72,0.92247,0.74995,1.03538,0.87849,0.74862,0.84079,0.66682,0.8385,0.63705,0.96503,1.2971e-05,1.2971e-05,1.2971e-05
47,132.287,0.91322,0.73698,1.03172,0.88369,0.74147,0.84158,0.66653,0.83778,0.63824,0.96464,1.06148e-05,1.06148e-05,1.06148e-05
48,134.835,0.87917,0.75273,1.0326,0.88281,0.7449,0.84296,0.66702,0.83548,0.63786,0.96375,8.2586e-06,8.2586e-06,8.2586e-06
49,137.39,0.889,0.73907,1.02382,0.87797,0.7483,0.84312,0.66831,0.83485,0.63918,0.96311,5.9024e-06,5.9024e-06,5.9024e-06
50,139.98,0.88638,0.71435,1.02897,0.88207,0.74321,0.84314,0.66827,0.83402,0.64028,0.96268,3.5462e-06,3.5462e-06,3.5462e-06
