epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,221.488,0.90944,0.80182,1.06876,0.88633,0.74712,0.84315,0.67974,0.81926,0.60468,0.96323,2.94644e-05,2.94644e-05,2.94644e-05
40,226.609,0.90848,0.79472,1.07546,0.89386,0.7467,0.84123,0.68153,0.81832,0.60206,0.96301,2.71082e-05,2.71082e-05,2.71082e-05
41,231.11,0.94464,0.84935,1.03652,0.85806,0.76238,0.84635,0.67717,0.8206,0.6085,0.96225,2.4752e-05,2.4752e-05,2.4752e-05
42,235.515,0.94566,0.84075,1.05253,0.85767,0.76025,0.84744,0.6792,0.82347,0.61253,0.96252,2.23958e-05,2.23958e-05,2.23958e-05
43,240.035,0.945,0.78533,1.05746,0.87235,0.75348,0.84976,0.67586,0.82885,0.61543,0.96434,2.00396e-05,2.00396e-05,2.00396e-05
44,244.598,0.94826,0.81144,1.04282,0.90391,0.73409,0.84801,0.67705,0.83245,0.61684,0.96547,1.76834e-05,1.76834e-05,1.76834e-05
45,249.218,0.96688,0.81322,1.05201,0.90436,0.73708,0.84839,0.67432,0.83503,0.6191,0.96652,1.53272e-05,1.53272e-05,1.53272e-05
46,253.794,0.92333,0.75607,1.04091,0.90235,0.7362,0.8432,0.67043,0.83683,0.62173,0.96689,1.2971e-05,1.2971e-05,1.2971e-05
47,258.388,0.91897,0.73854,1.03316,0.8985,0.73561,0.84345,0.66916,0.83816,0.62381,0.96729,1.06148e-05,1.06148e-05,1.06148e-05
48,262.966,0.88832,0.75139,1.03604,0.88716,0.7373,0.84465,0.6705,0.83757,0.62373,0.9673,8.2586e-06,8.2586e-06,8.2586e-06
49,267.625,0.89047,0.74523,1.03001,0.87908,0.74477,0.84511,0.67116,0.83657,0.62489,0.9669,5.9024e-06,5.9024e-06,5.9024e-06
50,272.182,0.88414,0.71783,1.0289,0.88389,0.73863,0.84359,0.67013,0.83655,0.62567,0.96666,3.5462e-06,3.5462e-06,3.5462e-06
