epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0018,1.18901,1.41729,1.22285,0.73166,0.57548,0.67121,0.50743,1.06598,1.03191,1.10819,8.33e-06,8.33e-06,8.33e-06
2,17.1221,1.18608,1.27084,1.22463,0.73133,0.59978,0.68832,0.52054,1.057,0.99871,1.09941,1.74966e-05,1.74966e-05,1.74966e-05
3,23.001,1.24117,1.30735,1.26212,0.75176,0.60527,0.69383,0.52331,1.04752,0.9826,1.09413,2.62861e-05,2.62861e-05,2.62861e-05
4,28.4601,1.1199,1.17735,1.21857,0.7757,0.61218,0.70454,0.52826,1.04204,0.96389,1.09041,3.46987e-05,3.46987e-05,3.46987e-05
5,34.0559,1.15744,1.14557,1.21524,0.78258,0.63072,0.72267,0.541,1.03567,0.94895,1.086,4.27343e-05,4.27343e-05,4.27343e-05
6,41.8452,1.07886,1.11963,1.17763,0.79135,0.64731,0.73644,0.55232,1.03046,0.9328,1.07721,5.03929e-05,5.03929e-05,5.03929e-05
7,48.9933,1.18094,1.16933,1.20963,0.77864,0.6576,0.73866,0.55514,1.02538,0.91752,1.07303,5.76745e-05,5.76745e-05,5.76745e-05
8,54.5768,1.09686,1.11602,1.17487,0.79231,0.66641,0.74621,0.56318,1.01674,0.89861,1.06528,6.45792e-05,6.45792e-05,6.45792e-05
9,62.3903,1.06315,1.07685,1.17907,0.79635,0.67167,0.7518,0.57326,1.00802,0.87704,1.05926,7.11068e-05,7.11068e-05,7.11068e-05
10,74.752,1.10699,1.02576,1.15379,0.80821,0.67572,0.75081,0.57527,0.99993,0.8559,1.05555,7.72574e-05,7.72574e-05,7.72574e-05
11,85.1282,1.06478,1.01769,1.14442,0.84105,0.67552,0.76192,0.583,0.98759,0.83344,1.04671,8.30311e-05,8.30311e-05,8.30311e-05
12,93.1074,1.13725,1.06186,1.16269,0.84343,0.68342,0.76821,0.59119,0.97994,0.81892,1.04126,8.84277e-05,8.84277e-05,8.84277e-05
13,98.5548,1.05504,1.03602,1.16628,0.82772,0.69725,0.77161,0.59463,0.97939,0.80722,1.03877,9.07256e-05,9.07256e-05,9.07256e-05
14,104.64,1.06854,1.01912,1.14466,0.83502,0.69719,0.77404,0.59623,0.97317,0.79579,1.03298,8.83694e-05,8.83694e-05,8.83694e-05
15,110.212,1.06269,0.99297,1.16317,0.82569,0.6999,0.77616,0.60303,0.96251,0.78225,1.02929,8.60132e-05,8.60132e-05,8.60132e-05
16,115.59,0.9965,0.93501,1.107,0.82861,0.70738,0.77828,0.60765,0.94698,0.76826,1.02118,8.3657e-05,8.3657e-05,8.3657e-05
17,120.878,1.00216,0.93177,1.11557,0.83489,0.71448,0.7877,0.61443,0.93252,0.75465,1.01594,8.13008e-05,8.13008e-05,8.13008e-05
18,126.279,1.03312,0.993,1.14316,0.83836,0.71244,0.78589,0.61802,0.92131,0.74128,1.01196,7.89446e-05,7.89446e-05,7.89446e-05
