epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.89387,0.98539,2.6836,1.31783,0.57215,0.85,0.8019,0.6094,1.63396,1.0611,1.37745,0,0,0
2,5.10303,1.02651,3.27438,1.37788,0.56941,0.85,0.8002,0.60914,1.63204,1.0451,1.37489,1.17822e-06,1.17822e-06,1.17822e-06
3,6.27903,1.41613,2.7477,1.81767,0.56614,0.85,0.84555,0.63435,1.65392,1.04982,1.37939,2.33288e-06,2.33288e-06,2.33288e-06
4,7.34412,1.5243,3.05738,2.10543,0.56509,0.85,0.80047,0.60806,1.65982,1.04117,1.3796,3.46397e-06,3.46397e-06,3.46397e-06
5,8.56935,1.47577,3.27011,1.94324,0.54102,0.85,0.84824,0.61797,1.65752,1.04016,1.37527,4.5715e-06,4.5715e-06,4.5715e-06
6,10.1909,1.1537,2.83078,1.47622,0.54243,0.85,0.80727,0.60241,1.63766,1.03713,1.36002,5.65548e-06,5.65548e-06,5.65548e-06
7,11.6954,1.16305,2.52304,1.42668,0.56469,0.85,0.80752,0.60661,1.6327,1.03153,1.35721,6.71588e-06,6.71588e-06,6.71588e-06
8,13.2214,1.03188,2.65506,1.27154,0.55468,0.85,0.80317,0.60118,1.63201,1.03317,1.35278,7.75273e-06,7.75273e-06,7.75273e-06
9,14.6414,1.12381,3.76648,1.47884,0.61399,0.93333,0.90087,0.62502,1.61722,1.01819,1.34096,8.76602e-06,8.76602e-06,8.76602e-06
10,15.9436,1.01954,2.64085,1.26051,0.5561,0.85,0.85424,0.62059,1.61312,1.02372,1.33774,9.75574e-06,9.75574e-06,9.75574e-06
11,17.3508,1.13475,2.92705,1.41162,0.56693,0.86622,0.85177,0.63064,1.60736,1.007,1.33247,1.07219e-05,1.07219e-05,1.07219e-05
12,18.7824,0.90914,2.18635,1.28836,0.57895,0.86667,0.86316,0.62994,1.60447,1.01112,1.33176,1.16645e-05,1.16645e-05,1.16645e-05
13,20.257,0.91296,2.00486,1.44556,0.59877,0.86667,0.86286,0.63012,1.59757,1.01515,1.33115,1.25835e-05,1.25835e-05,1.25835e-05
14,21.8934,1.03984,2.28696,1.40197,0.60129,0.86667,0.86875,0.63058,1.58656,1.01912,1.32439,1.3479e-05,1.3479e-05,1.3479e-05
15,23.2928,1.06426,1.92332,1.41644,0.60348,0.86667,0.87037,0.63378,1.59028,1.02502,1.32778,1.43509e-05,1.43509e-05,1.43509e-05
16,24.7734,1.02468,2.30975,1.54635,0.80714,0.65,0.87691,0.63699,1.59287,1.03065,1.32667,1.51993e-05,1.51993e-05,1.51993e-05
17,26.2683,0.93835,2.29743,1.35627,0.82353,0.65,0.89776,0.64602,1.60177,1.0429,1.33173,1.60241e-05,1.60241e-05,1.60241e-05
18,27.6424,1.12589,2.52018,1.44806,0.82353,0.65,0.89776,0.64602,1.60177,1.0429,1.33173,1.68253e-05,1.68253e-05,1.68253e-05
19,29.1517,1.16296,1.61606,1.32375,0.81352,0.65,0.8895,0.64353,1.60711,1.06169,1.33257,1.7603e-05,1.7603e-05,1.7603e-05
20,30.5232,1.02324,1.51981,1.30145,0.81352,0.65,0.8895,0.64353,1.60711,1.06169,1.33257,1.83571e-05,1.83571e-05,1.83571e-05
21,31.9707,1.14831,3.19144,1.49097,0.82174,0.65,0.87812,0.64023,1.61501,1.07727,1.33514,1.90876e-05,1.90876e-05,1.90876e-05
22,33.4635,0.95503,1.81069,1.49111,0.82174,0.65,0.87812,0.64023,1.61501,1.07727,1.33514,1.97946e-05,1.97946e-05,1.97946e-05
23,34.8825,1.06863,2.06492,1.32719,0.81305,0.65,0.87139,0.63289,1.6418,1.11124,1.35189,2.0478e-05,2.0478e-05,2.0478e-05
24,36.1819,1.04721,1.68855,1.37269,0.81305,0.65,0.87139,0.63289,1.6418,1.11124,1.35189,2.11379e-05,2.11379e-05,2.11379e-05
25,37.5479,0.89377,2.00935,1.26378,0.83441,0.65,0.85292,0.61426,1.65269,1.14432,1.36226,2.17741e-05,2.17741e-05,2.17741e-05
26,38.9183,0.96533,1.62852,1.40452,0.83441,0.65,0.85292,0.61426,1.65269,1.14432,1.36226,2.23869e-05,2.23869e-05,2.23869e-05
27,40.3278,0.92036,1.62465,1.26166,0.83784,0.65,0.85307,0.63673,1.62689,1.15079,1.34755,2.2976e-05,2.2976e-05,2.2976e-05
28,41.5708,0.8465,1.49897,1.20623,0.83784,0.65,0.85307,0.63673,1.62689,1.15079,1.34755,2.35417e-05,2.35417e-05,2.35417e-05
29,43.0381,1.20922,1.81384,1.41355,0.83746,0.65,0.85294,0.63661,1.61813,1.16573,1.34815,2.40837e-05,2.40837e-05,2.40837e-05
