Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.8105±0.0039,0.6584±0.0202,0.2986±0.0127,0.4107±0.0143,0.7686±0.0050
Random Forest,0.8206±0.0032,0.6721±0.0134,0.3690±0.0094,0.4764±0.0103,0.7841±0.0033
XGBoost,0.8189±0.0037,0.6594±0.0163,0.3750±0.0101,0.4781±0.0111,0.7772±0.0051
LightGBM,0.8178±0.0017,0.6549±0.0074,0.3731±0.0055,0.4754±0.0051,0.7766±0.0046
Gradient Boosting,0.8177±0.0024,0.6528±0.0090,0.3762±0.0072,0.4773±0.0079,0.7792±0.0033
K-Nearest Neighbors,0.8145±0.0029,0.6454±0.0137,0.3583±0.0065,0.4607±0.0076,0.7494±0.0094
