epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.64374,1.18901,1.41729,1.22285,0.73166,0.57548,0.67121,0.50743,1.06598,1.03191,1.10819,8.33e-06,8.33e-06,8.33e-06
2,6.93175,1.18573,1.27065,1.22392,0.73309,0.59534,0.68853,0.51839,1.05689,0.99856,1.0996,1.76733e-05,1.76733e-05,1.76733e-05
3,10.1623,1.24196,1.30673,1.26247,0.75173,0.60574,0.69379,0.52423,1.04838,0.98243,1.09454,2.68281e-05,2.68281e-05,2.68281e-05
4,13.0694,1.11912,1.17441,1.21865,0.76607,0.62122,0.70534,0.53164,1.04419,0.965,1.09147,3.57944e-05,3.57944e-05,3.57944e-05
5,15.9758,1.1569,1.14485,1.21467,0.79605,0.62448,0.72372,0.54853,1.0349,0.949,1.08448,4.45722e-05,4.45722e-05,4.45722e-05
6,18.8516,1.0769,1.11693,1.1763,0.77186,0.65417,0.73471,0.55642,1.02927,0.93582,1.07674,5.31615e-05,5.31615e-05,5.31615e-05
7,21.7657,1.17529,1.16581,1.20497,0.76142,0.66853,0.73958,0.55381,1.02531,0.91355,1.0706,6.15623e-05,6.15623e-05,6.15623e-05
8,24.6978,1.08868,1.10834,1.17003,0.78056,0.67535,0.74943,0.56521,1.01838,0.89145,1.0642,6.97746e-05,6.97746e-05,6.97746e-05
9,27.6363,1.05967,1.06516,1.17906,0.80945,0.66295,0.7505,0.57281,1.00499,0.86651,1.05726,7.77984e-05,7.77984e-05,7.77984e-05
10,30.5489,1.10032,1.01933,1.14579,0.81531,0.68101,0.75636,0.57427,0.99638,0.8502,1.05161,8.56337e-05,8.56337e-05,8.56337e-05
11,33.4158,1.06004,1.00432,1.14178,0.82938,0.6916,0.76611,0.58554,0.98985,0.83123,1.04691,9.32805e-05,9.32805e-05,9.32805e-05
12,36.3274,1.13285,1.05483,1.15783,0.81439,0.68955,0.76726,0.59044,0.98495,0.8187,1.04292,0.000100739,0.000100739,0.000100739
13,39.2137,1.05827,1.0257,1.17052,0.81952,0.69141,0.77026,0.59435,0.98158,0.79893,1.03769,0.000104863,0.000104863,0.000104863
14,42.0939,1.05884,0.99854,1.13614,0.83737,0.69941,0.77909,0.60273,0.97545,0.77762,1.03364,0.000103685,0.000103685,0.000103685
15,45.0024,1.06716,0.98693,1.16119,0.84231,0.70223,0.78184,0.60658,0.96208,0.76382,1.02708,0.000102507,0.000102507,0.000102507
16,47.9022,0.99105,0.92075,1.10085,0.84242,0.70631,0.79052,0.61407,0.94631,0.74714,1.02043,0.000101329,0.000101329,0.000101329
17,50.7481,1.00051,0.91684,1.11378,0.84417,0.70721,0.79225,0.61927,0.93568,0.73841,1.01745,0.00010015,0.00010015,0.00010015
18,53.6728,1.02588,0.98932,1.14103,0.85041,0.70568,0.79721,0.61945,0.92982,0.73313,1.01714,9.89723e-05,9.89723e-05,9.89723e-05
19,56.6439,1.02254,0.90737,1.11518,0.85009,0.71381,0.79999,0.62463,0.9227,0.73001,1.01275,9.77942e-05,9.77942e-05,9.77942e-05
20,59.4758,0.98665,0.89998,1.09711,0.84973,0.72117,0.80617,0.63182,0.90841,0.71829,1.00508,9.66161e-05,9.66161e-05,9.66161e-05
